"DivisionName","DivisionEnrollments","As Of"
"A - Division BASEBALL (League Age 7-8)","31","2024-12-16"
"AA - Division BASEBALL (League Age 8-9)","13","2024-12-16"
"AAA - Division BASEBALL (League Age 10-11)","26","2024-12-16"
"Juniors - Division BASEBALL (League Age 13-14)","1","2024-12-16"
"Kindergarten Coach Pitch (League Age 6 & 7)","24","2024-12-16"
"Majors - Division BASEBALL (League Age 11-12)","19","2024-12-16"
"Seniors - Division BASEBALL (League Age 15-16)","1","2024-12-16"
"Tee-ball Division (League Age 5-6)","13","2024-12-16"
"TOTAL","128","2024-12-16"
