SortOrder,RoundNo,HomeTeam,AwayTeam,MatchDate,StartTime,EndTime,Location,Field
1,1,Baseball-TEEN/JUNIOR-Sculpins,QA,7/7/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Whitman Field
2,1,NB-Mariners,NB-Grizzlies,7/7/2025,19:00,21:00,Willis Tucker Baseball Fields,Field 1
3,1,NW,RUG,7/8/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Whitman Field
4,1,QA,RUG,7/9/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Whitman Field
5,1,NB-Mariners,Baseball-TEEN/JUNIOR-Sculpins,7/10/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Whitman Field
6,1,NB-Grizzlies,NW,7/10/2025,19:00,21:00,Willis Tucker Baseball Fields,Field 1
7,2,QA,NB-Grizzlies,7/14/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Whitman Field
8,2,Baseball-TEEN/JUNIOR-Sculpins,NW,7/14/2025,17:30,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Fields #1
9,2,RUG,NB-Mariners,7/14/2025,18:30,20:30,Northshore Athletic Fields,Field 1
10,2,NB-Mariners,NW,7/15/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Whitman Field
11,2,NB-Grizzlies,QA,7/16/2025,18:30,20:30,Northshore Athletic Fields,Field 1
12,2,Baseball-TEEN/JUNIOR-Sculpins,RUG,7/16/2025,17:00,18:30,Lower Woodland Ball Fields,Lower Woodland Ball Fields #1
13,3,RUG,NB-Grizzlies,7/21/2025,18:00,20:00,Meadowbrook Playfield Park,Field 1
14,3,NW,QA,7/21/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Whitman Field
15,3,NB-Mariners,Baseball-TEEN/JUNIOR-Sculpins,7/21/2025,18:30,20:30,Northshore Athletic Fields,Field 1
16,3,NB-Grizzlies,NB-Mariners,7/24/2025,18:30,20:30,Northshore Athletic Fields,Field 1
17,3,QA,Baseball-TEEN/JUNIOR-Sculpins,7/24/2025,18:00,20:00,Meadowbrook Playfield Park,Field 1
18,3,RUG,NW,7/24/2025,18:00,20:30,Whitman Middle School / Soundview Playfield,Whitman Field
19,4,RUG,QA,7/28/2025,18:00,20:30,Lower Woodland Ball Fields,Lower Woodland Ball Fields #1
20,4,Baseball-TEEN/JUNIOR-Sculpins,NB-Mariners,7/28/2025,18:30,20:30,Northshore Athletic Fields,Field 1
21,4,NW,NB-Grizzlies,7/29/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Whitman Field
22,4,NB-Mariners,QA,7/30/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Whitman Field
23,4,NB-Grizzlies,RUG,7/31/2025,18:30,20:30,Northshore Athletic Fields,Field 1
24,4,NW,Baseball-TEEN/JUNIOR-Sculpins,7/31/2025,18:00,20:00,Whitman Middle School / Soundview Playfield,Whitman Field
25,5,QA,NB-Mariners,8/4/2025,18:00,20:30,Whitman Middle School / Soundview Playfield,Whitman Field
26,5,NW,NB-Grizzlies,8/4/2025,18:30,20:30,Northshore Athletic Fields,Field 1
27,5,RUG,Baseball-TEEN/JUNIOR-Sculpins,8/5/2025,18:00,20:30,Whitman Middle School / Soundview Playfield,Whitman Field
28,5,Baseball-TEEN/JUNIOR-Sculpins,NB-Grizzlies,8/6/2025,18:00,20:30,Magnuson Park,Field #8
29,5,QA,NW,8/7/2025,18:00,20:30,Whitman Middle School / Soundview Playfield,Whitman Field
30,5,NB-Mariners,RUG,8/7/2025,18:30,20:30,Northshore Athletic Fields,Field 1